Country,Clicks,Impressions,CTR,Position
Peru,8,388,2.06%,5.39
United States,0,32,0%,4.69
Mexico,0,13,0%,1.92
Colombia,0,7,0%,12
Spain,0,5,0%,2.2
Ecuador,0,5,0%,6.4
Chile,0,4,0%,2
Bolivia,0,3,0%,3.67
Guatemala,0,3,0%,6.33
Venezuela,0,2,0%,1
Argentina,0,2,0%,1.5
Panama,0,2,0%,5
Albania,0,2,0%,5.5
Indonesia,0,2,0%,5.5
Turkey,0,2,0%,9
El Salvador,0,1,0%,1
Ireland,0,1,0%,2
Norway,0,1,0%,2
India,0,1,0%,5
Singapore,0,1,0%,5
Portugal,0,1,0%,6
United Arab Emirates,0,1,0%,7
Malaysia,0,1,0%,8
Andorra,0,1,0%,9
Serbia,0,1,0%,9
Bahamas,0,1,0%,11
Japan,0,1,0%,12
Saudi Arabia,0,1,0%,100
